rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635807864630
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9959,1635807864846
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0156,1635807865052
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635808165361
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635808165573
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0236,1635808165779
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9322,1635808466084
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9959,1635808466297
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0196,1635808466505
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635808766774
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9959,1635808766985
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0275,1635808767194
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635809067504
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635809067722
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0236,1635809067932
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635809368237
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9959,1635809368450
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0236,1635809368654
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635809668929
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635809669142
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0156,1635809669350
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9241,1635809969610
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9959,1635809969827
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0236,1635809970035
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635810270342
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9959,1635810270561
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0315,1635810270774
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9282,1635810570990
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635810571200
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0236,1635810571404
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9322,1635810871710
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9959,1635810871924
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0275,1635810872128
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635811172433
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635811172645
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0275,1635811172851
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9282,1635811473086
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635811473316
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0156,1635811473531
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635811773837
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635811774063
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0196,1635811774267
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635812074577
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635812074789
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0116,1635812075000
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635812375265
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9959,1635812375483
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0196,1635812375690
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635812676000
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635812676211
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0275,1635812676415
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9282,1635812976723
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635812976939
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0196,1635812977146
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635813277457
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635813277671
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0196,1635813277878
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635813578185
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9959,1635813578397
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0196,1635813578603
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9322,1635813878908
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635813879122
rpi,ruth,rpi_zero_006,004_20Ah,6,labjack,true,13.0196,1635813879333
rpi,ruth,rpi_zero_008,003_20Ah,2,labjack,true,12.9363,1635814179640
rpi,ruth,rpi_zero_007,002_45Ah,4,labjack,true,12.9999,1635814179852
